,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
5723,30,2,2,26,2,38.9,41.3,35.9,3,4,1,0,9500,50000,California,West Region
5724,55,3,2,26,3,40.4,42.7,37.5,3,2,1,0,55000,110000,Texas,South Region
5725,40,4,1,30,3,37.9,40.7,34.9,3,,1,0,40000,85000,Michigan,Midwest Region
5727,37,4,1,18,3,38.1,40.7,35,3,2,0,0,15000,350000,Utah,West Region
5728,45,3,2,27,3,38.3,40.9,35.6,3,,1,0,54000,54000,Pennsylvania,Northeast Region
5729,20,3,1,60,1,36.9,39.7,33.7,2,,1,1,25000,25000,Colorado,West Region
5730,50,4,3,49,3,38.6,40.8,36.2,2,2,1,0,,,Tennessee,South Region
5731,30,4,2,52,3,37.9,39.6,35.9,3,4,1,0,,,California,West Region
5736,56,4,2,36,2,40.1,41.5,38.9,3,2,1,0,84000,120000,District of Columbia,South Region
5737,3,4,2,20,3,39.3,41.4,36.8,3,,0,0,1200,24000,Hawaii,West Region
5738,40,5,2,28,3,38.9,41.4,36,2,2,0,0,33200,70000,New Jersey,Northeast Region
5739,45,3,1,67,2,37.4,39.2,35.5,1,,1,0,75000,175000,California,West Region
5740,45,4,1,62,1,39,41.7,36.1,1,,1,0,225000,260000,Pennsylvania,Northeast Region
5742,43,4,2,34,2,38.5,41.5,35.5,3,1,0,0,67000,67000,Massachusetts,Northeast Region
5743,45,5,2,33,3,38.7,40.5,36.9,3,2,1,0,98000,140000,New York,Northeast Region
5748,60,5,,57,3,39.2,41.6,36.6,3,,1,0,,,Minnesota,Midwest Region
5749,45,2,2,55,1,37.9,39.6,35.9,1,,1,0,105000,105000,California,West Region
5751,60,2,1,65,3,38.8,41.6,35.8,1,2,0,0,0,,Minnesota,Midwest Region
5752,50,4,2,53,3,37.1,39.9,33.9,3,,1,0,110000,150000,New York,Northeast Region
5753,38,3,2,27,3,39.3,41.9,36.3,3,,1,0,,,Illinois,Midwest Region
5756,25,4,2,42,3,36.7,41.2,30.9,2,4,1,0,14000,15000000,Utah,West Region
5757,45,4,1,27,3,39.3,42.1,35.7,3,,1,0,42000,42000,Wisconsin,Midwest Region
5760,2,2,2,73,2,40.1,41.8,38.2,2,,1,0,960,35000,Georgia,South Region
5762,40,3,1,29,3,39.1,41,37.2,3,,1,0,50000,10000,Tennessee,South Region
5763,6,4,2,38,3,39.3,41.3,37.1,3,,1,0,0,170000,Texas,South Region
5764,45,3,1,37,3,38.5,40.3,36.6,3,,1,0,75000,100000,Tennessee,South Region
5765,27,4,1,37,3,38.3,40.2,36.3,3,1,0,0,17000,29000,New York,Northeast Region
5766,60,5,1,39,3,38.6,41,36,3,1,1,0,36000,57000,Missouri,Midwest Region
5768,50,3,2,43,3,38.1,40.4,35.5,3,,1,0,225000,225000,California,West Region
5769,8,2,2,22,1,37.9,39.6,35.9,3,1,0,0,18000,75000,California,West Region
5770,40,4,1,57,3,39,41,36.7,3,,1,0,185000,205000,Ohio,Midwest Region
5771,50,4,2,40,3,38.3,41.1,35.2,3,2,1,0,100000,87000,New York,Northeast Region
5772,60,5,2,36,3,38.6,40.6,36.2,3,,1,0,200000,200000,California,West Region
5773,26,4,2,33,3,36.8,41.3,31.7,3,,1,0,13000,41000,Idaho,West Region
5774,42,4,1,60,3,39.2,41.6,36.5,3,,1,0,130000,215000,Georgia,South Region
5777,0,5,2,61,1,38.7,40.6,36.8,2,4,1,0,,,Maryland,South Region
5778,40,4,1,39,3,37.5,40.4,34.1,3,,1,0,24000,124000,Colorado,West Region
5779,60,3,2,50,1,38.2,40.9,35,2,,0,1,0,75000,Washington,West Region
5780,30,4,1,61,1,40.5,43.5,36.6,3,,0,0,15000,15000,Texas,South Region
5782,50,5,1,56,3,40.2,42.1,38,3,,1,0,120000,135000,Florida,South Region
5784,40,1,1,49,3,40.1,41.7,38.4,3,,1,0,98000,98000,California,West Region
5786,40,5,2,41,2,38.5,41,35.9,3,1,1,0,,,Pennsylvania,Northeast Region
5787,50,4,1,28,3,38,40.1,36,3,,1,0,200000,300000,Massachusetts,Northeast Region
5788,40,4,1,74,3,38.1,40.7,35,2,,1,0,58000,90000,Utah,West Region
5789,40,5,1,53,3,39.3,42,36.5,3,,1,0,90000,90000,South Carolina,South Region
5790,10,4,2,78,1,38.2,39.9,36.6,1,,1,0,2000,130000,Pennsylvania,Northeast Region
5791,50,3,2,39,3,39.4,42.4,35.8,3,,0,0,43000,80000,Colorado,West Region
5795,55,2,2,,1,39.1,42.3,35.6,1,1,1,0,13000,50000,New York,Northeast Region
5797,25,1,1,60,1,38.4,39.9,36.6,2,4,1,0,25000,25000,Nevada,West Region
5798,7,4,1,40,1,40.2,44,35.4,3,,0,0,0,29400,Washington,West Region
