,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
1923,,2,2,63,2,39.2,41.4,36.8,3,,,1,8000,8000,Maryland,South Region
1924,16,3,2,73,1,38.6,40.5,36.5,1,,1,0,7000,33000,Illinois,Midwest Region
1925,40,4,2,41,3,38.6,40.5,36.5,3,,1,0,,,Illinois,Midwest Region
1926,,2,2,72,1,38.6,40.5,36.5,2,,,0,0,0,Illinois,Midwest Region
1927,45,3,1,51,3,39.2,42.4,35.6,3,1,0,0,110000,115000,Pennsylvania,Northeast Region
1928,55,5,2,33,3,38.2,41,35.3,3,1,1,0,48000,105000,Vermont,Northeast Region
1929,50,3,1,32,3,38.6,41,36.1,3,2,0,0,50000,105000,Vermont,Northeast Region
1930,,1,1,58,2,40.2,44.8,33.5,2,,,0,72000,94000,Idaho,West Region
1931,,4,2,86,3,37.2,40.4,33.8,2,,,0,0,17500,Michigan,Midwest Region
1932,,4,2,68,1,39.8,42.5,37,2,,,0,0,,North Carolina,South Region
1933,,4,1,66,2,38,40.4,35.6,2,,,0,0,,Ohio,Midwest Region
1934,,3,1,77,1,38.6,40.5,36.5,2,,,0,0,30000,Illinois,Midwest Region
1935,,2,1,71,1,37,39.2,34.5,2,,,0,0,,Indiana,Midwest Region
1936,,4,1,49,2,39.2,41.3,37,1,,1,0,56000,56000,Maryland,South Region
1937,60,4,1,49,3,38.8,41.9,35.5,3,,1,0,150000,235000,Michigan,Midwest Region
1938,30,3,2,51,3,37.9,39.6,35.9,2,,1,0,24000,24000,California,West Region
1939,50,4,1,59,2,43.9,47.9,37.2,2,,1,0,52000,52000,Louisiana,South Region
1940,,3,2,73,2,38.3,40.4,36,2,,,0,0,24000,Tennessee,South Region
1941,20,3,2,,1,39.7,43.3,35.9,1,,1,0,3000,21000,Wisconsin,Midwest Region
1942,40,4,2,57,2,37.7,39.9,35.6,2,,1,0,42000,130000,Illinois,Midwest Region
1943,80,3,1,30,1,38.7,40.9,36.2,3,2,1,0,26000,32000,Alabama,South Region
1944,40,4,2,47,3,38.4,41.3,35.2,3,,1,0,45000,100000,Wisconsin,Midwest Region
1945,50,3,3,,1,39.4,41.8,36.4,1,,1,0,70000,90000,Colorado,West Region
1946,50,5,1,35,3,38.1,40.4,35.7,2,2,1,0,110000,110000,Michigan,Midwest Region
1947,70,3,2,52,3,38.5,42.2,34.5,3,1,1,0,65000,85000,Michigan,Midwest Region
1948,40,4,1,57,3,38.6,41.1,35.4,3,,1,0,62200,62200,Pennsylvania,Northeast Region
1949,,3,2,43,3,38.6,40.5,36.6,3,,,,60000,60000,Florida,South Region
1950,,2,1,55,2,38.7,40.5,36.9,3,,,0,115000,135000,New York,Northeast Region
1951,,3,1,86,2,39.4,41.2,37.3,2,,,0,0,18000,New Jersey,Northeast Region
1952,40,3,1,45,3,38.8,40,37.7,3,,1,0,91000,160000,Maryland,South Region
1953,42,4,2,31,3,40.4,42.7,37.5,3,2,1,0,50000,50000,Texas,South Region
1954,,2,2,44,2,38.7,41.3,35.8,2,,,0,0,1200,Arkansas,South Region
1955,55,4,2,57,3,38.6,40.3,36.7,3,1,1,0,40000,75000,Florida,South Region
1956,37,4,2,59,3,39.9,41.8,37.7,2,,1,0,,,Texas,South Region
1957,50,5,2,44,3,37.9,39.6,35.9,2,,0,0,310000,,California,West Region
1958,55,4,2,51,3,38.3,40.6,35.9,3,,1,0,45000,100000,Michigan,Midwest Region
1959,,3,2,77,2,39.1,42.6,35.2,3,,,0,0,19680,Pennsylvania,Northeast Region
1960,24,3,1,42,1,38.1,40.5,35.8,2,,0,0,900,80000,Tennessee,South Region
1961,,4,2,67,2,38.2,40.4,35.8,2,,,0,,9500,Florida,South Region
1962,,4,1,72,2,39.5,42.3,36.4,2,,,0,0,23000,Kentucky,South Region
1963,,3,2,72,1,38.7,40.6,36.5,2,,,0,0,21000,North Carolina,South Region
1964,20,4,2,34,2,38.9,41.6,36,3,,1,0,20000,100000,Georgia,South Region
1965,30,4,2,59,1,39.3,41.6,36.6,3,,1,0,45000,96000,Virginia,South Region
1966,38,4,2,47,3,40.1,41.5,38.9,3,,1,0,74000,152000,District of Columbia,South Region
1967,,3,1,69,3,39.6,42.2,37.1,3,,,1,0,,Arkansas,South Region
1968,,4,1,72,2,38.4,40.6,36.3,2,,,0,0,0,North Carolina,South Region
1969,65,3,1,63,3,39.5,42.6,36.1,1,,1,0,90000,105000,Indiana,Midwest Region
1970,,3,2,77,2,37.1,39.4,34.5,3,,,0,0,11700,Tennessee,South Region
1971,,2,2,34,1,39,40.7,37,2,,,0,0,43000,Kentucky,South Region
1972,60,4,2,57,2,40.7,44,36.7,3,4,1,0,50000,50000,Iowa,Midwest Region
1973,40,4,2,62,3,38.2,40.4,35.9,1,,1,0,75000,75000,Connecticut,Northeast Region
1974,,3,1,85,2,37.9,40.5,34.8,2,,,0,0,18400,Ohio,Midwest Region
1975,,4,3,,3,41.7,45.8,36.9,1,,,0,,,Wisconsin,Midwest Region
1976,40,5,2,27,2,37.8,40.8,34.5,2,,0,0,23700,23700,Ohio,Midwest Region
1977,,2,2,62,1,39.3,42.3,35.9,2,,,0,17000,80000,Illinois,Midwest Region
1978,40,4,2,41,3,38,40.2,35.9,2,,0,0,40000,40000,Ohio,Midwest Region
1979,55,2,1,58,2,40.4,42.7,37.5,2,,1,0,50000,50000,Texas,South Region
1980,15,3,2,65,3,39,41.8,35.9,3,,1,0,80000,120000,Pennsylvania,Northeast Region
1981,,2,1,64,1,37.4,40,34.5,2,,,1,0,19728,Wisconsin,Midwest Region
1982,40,3,2,62,2,38,40.2,35.9,2,,1,0,41000,41000,Ohio,Midwest Region
1983,,4,2,71,3,39.5,41.6,37.1,2,,,0,0,150000,Virginia,South Region
1984,50,3,1,60,3,39.1,42.1,35.8,3,2,1,0,50000,50000,Michigan,Midwest Region
1985,,4,2,78,2,38.4,41.3,35.2,2,,,0,60000,60000,New York,Northeast Region
1986,,3,1,92,3,39.7,42.2,36.9,2,,,0,0,0,Alabama,South Region
1987,40,3,1,75,1,35,38.7,30.1,1,3,1,1,0,45000,Utah,West Region
1988,15,2,2,49,3,38.7,40.9,36.4,3,1,1,0,60000,64000,Florida,South Region
1989,,3,1,55,2,37.9,39.7,36,2,,,0,,,New Mexico,West Region
1990,43,2,2,80,2,39.9,42,37.4,1,1,1,0,30804,30804,Texas,South Region
1991,50,5,2,43,3,39.8,42.2,37.3,3,2,1,0,70000,80000,North Carolina,South Region
1992,35,3,2,25,3,37.4,39.2,35.5,3,,0,0,19000,42500,California,West Region
1993,18,4,2,57,3,39.1,41.5,36.5,2,,0,0,12000,18000,Iowa,Midwest Region
1994,,4,2,95,2,39.3,41.9,36.3,2,,,0,0,0,Illinois,Midwest Region
1995,,3,1,50,2,38.4,40.6,36.1,2,,,0,50000,50000,California,West Region
1996,,4,2,64,3,36.8,39.3,34.2,3,,,0,0,,Michigan,Midwest Region
1997,40,4,1,61,2,38.8,41.1,36.2,1,,1,0,400000,400000,New Jersey,Northeast Region
1998,,3,2,75,2,39.3,41.7,36.6,2,,,0,0,43235,Oklahoma,South Region
1999,36,4,2,61,2,37.6,40.6,34.5,3,,1,0,100000,100000,Massachusetts,Northeast Region
2000,40,5,1,68,2,38.4,41.3,35.2,3,,1,0,70000,95000,New York,Northeast Region
2001,45,3,1,46,2,40.7,43.4,37.3,2,2,1,0,38000,38000,Iowa,Midwest Region
2002,80,5,1,66,3,39,41.8,35.8,3,2,1,0,45000,45000,North Carolina,South Region
2003,,2,1,66,1,38.7,40.7,36.7,2,,,1,0,0,Kentucky,South Region
2004,50,3,1,60,2,38.7,40.7,36.7,2,2,1,0,35000,80000,Kentucky,South Region
2005,,4,2,29,3,39.9,43.3,35.7,3,,,0,50000,80000,Indiana,Midwest Region
2006,15,4,2,70,2,38.2,39.8,36.5,2,,1,0,5000,,Virginia,South Region
2007,,2,2,89,2,39.1,41,37.2,1,,,0,0,22000,Tennessee,South Region
2008,48,4,1,71,1,39.5,42.7,35.7,1,3,1,0,11000,40000,North Carolina,South Region
2009,,3,2,69,2,38.3,40.9,35.5,2,,,0,11100,11100,Wisconsin,Midwest Region
2010,,3,2,,3,37.9,39.6,35.9,3,,,0,,28000,California,West Region
2011,55,4,1,61,2,38.5,41,35.9,2,,1,0,60000,120000,Pennsylvania,Northeast Region
2012,36,3,2,65,3,37.3,39.6,35,1,,1,0,45000,45000,New York,Northeast Region
2013,35,4,2,39,3,38.6,41.8,35,3,,1,0,,,Connecticut,Northeast Region
2014,55,4,1,36,3,38.6,41.1,35.8,3,,0,0,150000,240000,Missouri,Midwest Region
2015,40,5,1,62,3,39.4,42,36.3,3,,1,0,72000,112000,Ohio,Midwest Region
2016,,4,1,74,1,38.2,40.3,36.2,2,,,0,0,40000,Florida,South Region
2017,38,4,2,64,3,34.7,37.2,32.1,1,,1,0,44750,59400,Oregon,West Region
2018,,2,1,79,1,38.3,40.7,35.7,1,,1,0,,,Pennsylvania,Northeast Region
2019,,4,2,81,2,40.7,44,36.7,2,,,0,0,30000,Iowa,Midwest Region
2020,,2,1,68,1,36.5,40.1,32.4,2,,,0,0,35000,New York,Northeast Region
2021,40,4,1,58,3,37.6,40.8,34,3,,1,0,100000,150000,Washington,West Region
2022,30,4,2,21,3,38.4,39.4,37.4,3,2,0,0,25000,50000,Maryland,South Region
2023,,5,2,78,3,39.5,41.6,37.1,3,,,0,,,Virginia,South Region
2024,18,4,1,84,2,38.6,41.8,35,1,,0,0,30000,30000,Connecticut,Northeast Region
2025,,3,2,37,3,39.3,42.2,36.3,3,,,0,0,13580,Georgia,South Region
2026,,3,2,74,2,38.4,41.8,34.6,1,,,0,0,,Michigan,Midwest Region
2027,46,4,2,55,2,38.1,40.7,35.3,2,1,1,0,52000,52000,Michigan,Midwest Region
2029,,3,1,60,3,37.3,39.6,35,3,,,0,0,29000,New York,Northeast Region
2030,60,4,2,,2,36.6,39,34.3,2,2,1,0,,,Iowa,Midwest Region
2031,35,4,1,59,3,39.1,41.5,36.5,3,,1,1,50000,110000,Iowa,Midwest Region
2032,,3,2,82,2,37,39.2,34.5,2,,,0,,5442,Indiana,Midwest Region
2033,,1,2,59,2,38.6,40.3,37,2,,,0,0,12720,Indiana,Midwest Region
2034,40,2,2,57,3,40.4,42.7,37.5,3,,0,0,25000,,Texas,South Region
2035,,4,1,88,2,38.4,40.1,36.2,2,,,0,0,3035,Texas,South Region
2036,15,5,2,30,3,40.5,43.5,36.6,3,2,1,0,12000,192000,Texas,South Region
2037,,4,2,76,3,40.4,42.7,37.5,2,,,0,1560,55000,Texas,South Region
2038,,5,1,85,2,36.2,38.8,33.7,2,,,0,0,,Illinois,Midwest Region
2039,,4,1,82,3,38.4,39.4,37.4,3,,,0,0,117000,Maryland,South Region
2040,,4,1,65,3,38.7,40.7,36.4,3,,,0,0,,New York,Northeast Region
2041,,2,2,74,1,40.1,41.5,38.9,2,,,0,0,105000,District of Columbia,South Region
2042,,2,2,55,3,39,41,36.9,3,,,0,8000,8000,Missouri,Midwest Region
2043,50,3,1,43,3,39.1,41.4,36.9,3,,1,0,185000,215000,Alabama,South Region
2044,62,3,1,55,3,37.8,40.5,35,2,2,0,0,76000,90000,Ohio,Midwest Region
2045,,3,2,90,2,38.4,39.4,37.4,2,,,0,0,70000,Maryland,South Region
2046,12,3,2,38,2,39.3,41.8,36.5,3,,0,0,,,Kansas,Midwest Region
2047,30,4,1,70,3,39.5,42.1,36.6,1,,1,0,,200000,Kansas,Midwest Region
2048,,3,2,73,3,39.1,41.4,36.7,2,,,0,0,0,Missouri,Midwest Region
2049,50,4,1,56,3,39.5,42.1,36.6,2,,1,0,450000,450000,Kansas,Midwest Region
2050,44,4,3,,3,39.1,42.9,34.5,2,2,0,0,60000,90000,Minnesota,Midwest Region
2051,,3,2,69,,39.5,42.4,36.3,2,,,0,0,60000,Indiana,Midwest Region
2052,,3,1,69,2,38.7,41.4,36,2,,,0,0,40000,Florida,South Region
2053,10,3,1,76,1,39.8,42.9,36,2,,1,0,24000,75000,Indiana,Midwest Region
2054,,5,2,66,1,37.8,39.5,35.9,2,,,0,,,Florida,South Region
2055,45,3,2,43,3,37.8,40,35.5,2,,1,0,60000,85000,Ohio,Midwest Region
2056,40,4,2,40,3,38.5,40.5,36.4,3,,0,0,45000,45000,Ohio,Midwest Region
2057,,3,1,26,2,39.1,42.1,35.8,2,,,0,16000,20000,Michigan,Midwest Region
2058,,4,2,62,2,38.6,41.3,35.6,2,,,0,30000,120000,Ohio,Midwest Region
2059,35,3,1,31,3,38.8,40.9,36.4,3,,1,0,54000,54000,Washington,West Region
2060,8,4,2,61,1,41.2,43.4,38.5,2,,1,0,24000,24000,Arkansas,South Region
2061,40,4,1,62,3,38,40.9,34.9,2,,1,0,40000,40000,Ohio,Midwest Region
2062,,5,2,65,3,37.9,40.1,35.3,2,,,0,0,60000,California,West Region
2063,32,2,2,65,3,38.9,41.8,35.7,1,,1,0,37000,37000,Pennsylvania,Northeast Region
2064,,1,2,81,1,38.2,40.9,35.4,1,,,0,0,11280,Florida,South Region
2065,,3,1,63,2,39.3,41.1,37.3,2,,,0,0,35000,Florida,South Region
2066,,3,2,78,2,37.7,39.9,35.6,2,,,0,0,20000,Illinois,Midwest Region
2067,40,4,2,41,3,38.6,41.2,35.8,3,,0,0,34000,45000,Ohio,Midwest Region
2068,,5,3,55,2,38,40.4,35.6,2,,,0,0,,Ohio,Midwest Region
2069,40,3,2,52,3,38.9,41.2,36.4,3,,0,0,30000,30000,Illinois,Midwest Region
2070,7,4,2,45,3,39.5,42.4,36.3,2,,1,0,5800,116000,Indiana,Midwest Region
2071,30,4,2,74,1,38.1,40.4,35.7,2,,1,0,40000,40000,Michigan,Midwest Region
2072,25,4,2,55,3,40.4,42.7,37.5,2,2,1,0,53000,90000,Texas,South Region
2073,12,4,1,60,3,37.3,39.5,35,2,,1,0,27000,125000,Rhode Island,Northeast Region
2074,52,2,1,57,3,38.5,41,35.9,2,4,,0,45000,45000,Pennsylvania,Northeast Region
2075,40,5,2,19,3,38.8,41.2,36.1,3,2,1,0,14500,50000,New Hampshire,Northeast Region
2076,,3,2,67,1,39.2,41.1,37.2,2,,,0,60000,60000,Florida,South Region
2077,,4,1,73,2,38.6,40.6,36.2,2,,,0,0,,California,West Region
2078,40,3,1,62,3,38.9,42.1,35.5,3,2,,0,150000,175000,New Hampshire,Northeast Region
2079,,4,1,60,2,38.5,41.6,35,2,,,0,0,66000,New Jersey,Northeast Region
2080,,4,1,67,3,39,41.4,36.3,2,,,0,50000,67000,Arizona,West Region
2081,,3,2,70,2,37.6,40.3,34.8,2,,,0,0,1600,Arizona,West Region
2082,,3,1,82,2,38.2,40.3,36.2,2,,,0,0,65000,Florida,South Region
2083,40,4,1,55,3,39,41,36.7,3,,1,0,45000,70000,Ohio,Midwest Region
2084,,1,2,55,3,37.7,40.3,35,1,2,1,0,,,Michigan,Midwest Region
2085,,1,2,67,1,38.6,41.2,36,1,,,0,50000,55000,South Carolina,South Region
2086,,4,2,74,3,39.4,41.9,36.7,2,,,0,0,27000,Kentucky,South Region
2087,,4,2,37,2,38.1,40.6,35.2,2,,,0,0,160000,Idaho,West Region
