,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
0,,1,1,59,1,38.5,40.6,36.4,2,,,0,0,21000,Missouri,Midwest Region
1,,4,2,68,3,38.6,41,36,2,,,0,2000,70000,Missouri,Midwest Region
2,,4,2,79,1,37.8,40.2,35.3,3,,,0,34000,34000,Illinois,Midwest Region
3,20,4,2,57,1,40.4,42.8,37.6,3,,1,0,24000,250000,Tennessee,South Region
4,,3,1,65,1,38.3,40.2,36.4,2,,,0,0,0,Delaware,South Region
5,40,4,2,72,3,38.4,41.1,35.4,1,,0,0,47000,138000,Pennsylvania,Northeast Region
6,40,4,1,62,2,37.6,39.7,34.9,1,,1,0,54000,68400,California,West Region
7,,3,1,95,3,37.6,39.7,34.9,2,,,0,0,70000,California,West Region
8,40,5,2,23,3,35.9,38.6,33,3,4,1,0,45000,95000,California,West Region
9,,2,1,61,2,39.9,42.5,37,2,,,1,15000,15000,Louisiana,South Region
10,30,4,1,79,2,39.9,42.3,37.2,2,,1,0,42000,42000,Texas,South Region
11,,3,1,71,2,36.5,39.5,33.4,2,,,0,90000,150000,Rhode Island,Northeast Region
12,,4,2,59,2,38.3,40.3,36.2,2,,,0,0,70000,Minnesota,Midwest Region
13,,2,1,84,3,39.2,41.1,37,3,,,0,0,54000,Florida,South Region
14,36,5,2,42,3,38.7,41.8,35.4,3,,1,0,30000,30000,Minnesota,Midwest Region
15,,2,1,72,2,39.2,41.1,37.2,2,,,1,0,15000,Florida,South Region
16,,5,2,78,2,37.9,40.5,35,2,,,0,0,,Pennsylvania,Northeast Region
17,,4,2,74,2,37.9,39.8,35.7,2,,,0,0,2500,Florida,South Region
18,36,4,1,74,3,38.9,41.5,36,2,2,1,0,24000,75000,Missouri,Midwest Region
19,40,4,2,51,3,37.7,39.9,35.2,3,,1,0,42000,42000,Missouri,Midwest Region
20,,4,1,67,1,37.8,40.7,34.6,2,,,0,0,2500,Pennsylvania,Northeast Region
21,16,2,1,58,1,39.4,42.7,35.6,2,,1,0,24000,85000,Pennsylvania,Northeast Region
22,,3,1,79,1,38.9,41.4,36.2,1,,,0,0,35000,Kansas,Midwest Region
23,,5,1,68,3,38.7,41.5,35.8,2,,,0,0,55000,Maine,Northeast Region
24,42,4,2,59,3,38.1,41.1,35.1,2,,1,0,40000,125000,Virginia,South Region
25,40,5,1,54,2,37.5,40.1,34.7,2,,0,1,35000,75000,Washington,West Region
26,,3,2,67,2,39.3,41.7,36.6,2,,,0,35000,50000,Oklahoma,South Region
27,40,4,2,,2,37.7,40.3,35.2,2,,1,0,,,Connecticut,Northeast Region
28,,2,2,60,3,38.9,40.6,37.2,3,,,1,0,40000,Florida,South Region
29,50,3,1,49,1,38.1,40.7,35,3,1,1,0,12000,18000,Utah,West Region
30,,4,1,59,3,38.8,41.1,36.2,3,,,1,0,,Colorado,West Region
31,35,5,2,,3,39.8,43,36,3,,1,0,50000,120000,Colorado,West Region
32,,3,2,73,1,39.9,42.5,37,2,,,0,0,58000,Louisiana,South Region
33,60,5,2,25,3,39.5,42.1,36.6,3,4,0,0,46000,105000,Kansas,Midwest Region
34,50,4,1,46,2,39.5,42.1,36.6,3,4,1,0,,,Kansas,Midwest Region
35,,3,1,64,3,38.1,40.7,35,2,,,0,0,,Utah,West Region
36,36,,2,64,,39,41,36.9,,,1,0,11000,70000,Missouri,Midwest Region
37,40,3,1,65,1,39.4,41.8,36.4,1,,1,0,16000,30000,Colorado,West Region
38,,4,2,65,2,37.6,39.7,34.9,2,,,0,0,110000,California,West Region
39,36,4,1,66,2,37.7,40,35,1,,1,0,58000,85000,California,West Region
40,70,3,1,54,3,39.8,42.7,36.7,3,,1,0,100000,100000,Georgia,South Region
41,10,4,2,49,1,38.4,41.3,35.2,3,1,1,0,6000,6000,New York,Northeast Region
42,,3,2,75,2,38.4,41.3,35.2,2,,,0,0,,New York,Northeast Region
43,45,4,2,29,1,37.5,40.4,34.1,3,,1,0,21000,,Colorado,West Region
44,,4,,,2,37.2,39.5,34.7,2,,,1,0,145000,New Mexico,West Region
45,,3,3,65,2,37.2,39.5,34.7,2,,,0,0,24000,New Mexico,West Region
46,40,3,1,65,3,38.1,40.6,35.2,1,,1,0,55000,120000,Idaho,West Region
47,45,4,1,52,3,38.4,41.3,35.2,3,,1,0,55000,140000,New York,Northeast Region
48,,4,1,,3,37.4,39.6,35.1,3,,,0,55000,55000,New York,Northeast Region
49,18,3,2,64,1,38.3,40.3,36.1,2,,0,0,2092.19,60000,New York,Northeast Region
50,50,4,1,76,3,38.1,40.6,35.2,2,,1,0,,,Idaho,West Region
51,40,4,2,57,3,38.3,40.3,36.1,3,,1,0,26000,26000,New York,Northeast Region
52,40,3,2,30,3,39.3,41.4,37.1,3,,1,0,15000,45000,Virginia,South Region
53,50,3,1,75,1,39.2,41.5,36.7,3,3,1,0,60000,60000,North Carolina,South Region
54,,4,2,64,3,39.2,41.4,36.9,3,,,0,0,65000,North Carolina,South Region
55,,2,1,80,1,39.2,41.5,36.7,2,,,0,0,60000,North Carolina,South Region
56,40,3,2,67,3,38.8,40,37.7,1,,1,0,40000,40000,Maryland,South Region
57,,5,2,68,2,38.7,40.6,36.8,2,,,0,0,40000,Maryland,South Region
58,50,4,1,57,1,37.4,39.6,35.1,1,2,1,0,20000,35000,New York,Northeast Region
59,,4,2,48,3,37.1,39.4,34.4,3,,1,0,30000,140000,California,West Region
60,,2,2,71,2,38.2,40.5,35.4,2,,,0,0,,California,West Region
61,32,3,1,63,3,36,39.1,32.6,2,,1,0,150000,150000,California,West Region
62,,3,1,70,1,39.2,42.1,35.7,2,,,0,0,8000,Texas,South Region
63,,3,1,56,3,38.1,40,36.1,2,,,0,30000,45000,Texas,South Region
64,40,4,2,66,3,38.2,40.5,35.4,1,,1,0,52000,74000,California,West Region
65,12,3,2,53,2,37.1,39.4,34.4,1,,1,0,,,California,West Region
66,,4,1,83,2,35.9,38.4,33,2,,,0,0,160000,California,West Region
67,38,4,2,59,2,38.9,41.4,36.3,3,,0,0,53000,56000,Virginia,South Region
68,,2,1,83,2,40.4,42.7,37.5,2,,,0,0,32000,Texas,South Region
69,50,4,1,28,3,40.4,42.7,37.5,3,,1,0,80000,135000,Texas,South Region
70,36,3,2,56,3,38.1,40.4,35.5,3,,1,0,125000,133000,California,West Region
71,32,4,2,40,3,38.1,40.5,35.7,3,,1,0,55000,100000,Maine,Northeast Region
72,50,4,1,27,3,37.8,40.4,35,3,,1,0,92000,160000,Ohio,Midwest Region
73,40,3,2,47,2,37.3,39.3,35.3,3,2,1,0,,,Virginia,South Region
74,60,3,2,63,1,38.4,41.2,35.4,1,,1,0,19000,50000,Ohio,Midwest Region
75,40,4,1,58,3,39.2,41.5,36.7,2,,1,0,115000,130000,North Carolina,South Region
76,40,3,2,51,3,37.4,39.6,35.1,2,,1,0,77000,77000,New York,Northeast Region
77,,3,1,84,2,37.8,40.4,35.1,2,,,0,0,85000,New York,Northeast Region
78,,2,2,87,2,38.9,41.3,36.4,2,,,0,0,,Alabama,South Region
79,,3,2,46,1,38.3,41,35.7,3,,,0,0,7000,Mississippi,South Region
80,,2,2,67,2,39.1,41.6,36.1,3,,,0,0,771,Texas,South Region
81,,3,2,72,2,38.7,40.6,36.8,2,,,0,,,Maryland,South Region
82,,4,1,68,3,39.5,42.1,36.6,2,,,0,0,,Kansas,Midwest Region
83,,3,1,80,2,39.2,41.1,37,3,,,1,46000,46000,Florida,South Region
84,,2,1,73,2,38.2,40.4,35.9,2,,,0,,60000,Connecticut,Northeast Region
85,,3,1,68,2,38.9,41.8,35.7,2,,,0,0,38000,Pennsylvania,Northeast Region
86,,4,1,60,2,38.2,40.4,35.9,1,,,0,0,100000,Connecticut,Northeast Region
87,40,3,1,60,2,40.1,42.7,37.2,2,,0,0,48000,48000,Texas,South Region
88,13,5,1,65,1,39,41.8,35.9,2,,1,0,40000,48000,Pennsylvania,Northeast Region
89,,4,1,67,1,38.9,41.8,35.7,1,,,0,0,60000,Pennsylvania,Northeast Region
90,,3,2,65,3,37.7,40.3,35.2,2,,,0,0,38220,Connecticut,Northeast Region
91,,3,1,82,3,39.1,41.5,36.5,3,,,0,0,58000,Iowa,Midwest Region
92,,2,3,67,1,38.4,41.1,35.4,2,,,0,0,,Pennsylvania,Northeast Region
93,,4,2,71,2,39,42.1,35.8,2,,,0,0,40000,Illinois,Midwest Region
94,42,4,2,55,2,39.1,41.5,36.5,1,,0,0,80000,150000,Iowa,Midwest Region
95,,3,1,63,3,38,40.1,36,2,,,0,0,12000,Massachusetts,Northeast Region
96,,4,1,72,1,37.9,40.8,34.9,1,,,0,25000,55000,Massachusetts,Northeast Region
97,,4,1,81,2,37.4,39.9,34.6,2,,,0,,,New York,Northeast Region
98,,4,1,68,3,38.2,41,35.3,3,,,0,70000,80000,Vermont,Northeast Region
99,46,4,1,58,3,38.9,41.4,36.2,2,2,1,0,160000,243000,Kansas,Midwest Region
100,60,4,1,57,3,39.1,41.9,36.1,3,2,1,0,45000,80000,Kansas,Midwest Region
101,35,4,2,53,1,38.4,41.2,35.4,3,,1,0,30000,62000,Pennsylvania,Northeast Region
102,40,5,2,33,3,39.6,42,36.9,3,,1,0,60000,120000,Oklahoma,South Region
103,40,4,2,54,3,37.4,39.9,34.6,3,,1,0,,,New York,Northeast Region
104,,3,1,76,2,39.5,42,36.8,1,,,0,0,10416,Oklahoma,South Region
105,55,3,1,48,3,40.1,43.1,36.7,3,,1,0,85000,120000,Iowa,Midwest Region
106,45,4,1,34,3,39.7,42.9,35.9,3,,1,0,45000,90000,Ohio,Midwest Region
107,,3,2,62,3,38.7,40.6,36.8,2,,,0,32000,32000,Maryland,South Region
108,,3,1,74,2,39.3,41.1,37,2,,,0,0,36000,Kansas,Midwest Region
109,,3,1,91,2,40.4,42.2,38,2,,,0,0,,Missouri,Midwest Region
110,35,2,2,60,3,42.4,44.6,40.3,3,,1,0,64000,,New York,Northeast Region
111,40,5,1,34,3,38.1,40.2,35.8,3,,1,0,74000,130000,New York,Northeast Region
112,4,4,1,72,3,37,38.9,35.2,1,2,1,0,0,275000,New York,Northeast Region
113,,3,1,85,3,37.3,39.6,35,2,,,0,0,0,New York,Northeast Region
114,,3,2,68,3,38.5,41.6,35,1,,,0,30000,50000,New Jersey,Northeast Region
115,,3,2,,3,37.8,40.8,34.6,1,,,0,0,35000,New Jersey,Northeast Region
116,30,4,1,67,1,37.1,39.5,34.5,2,4,1,0,26000,45000,Kansas,Midwest Region
117,15,3,3,72,2,36.1,36.7,35.2,1,,0,0,,,New Jersey,Northeast Region
118,,4,1,77,2,39.4,42,36.5,2,,,0,0,,Virginia,South Region
119,,5,2,35,2,37.9,40.8,34.9,3,,,0,0,0,Massachusetts,Northeast Region
120,50,4,1,55,3,39.3,41.1,37,2,,1,0,,,Kansas,Midwest Region
121,,3,2,61,2,38.8,40.7,36.7,3,,,0,0,8652,Arizona,West Region
122,,4,1,65,2,38.5,41.3,35.5,2,,,0,42000,100000,Massachusetts,Northeast Region
123,,4,1,62,1,37.6,40.1,34.6,3,,,1,0,,Pennsylvania,Northeast Region
124,,3,2,65,1,38.2,40.7,35.5,3,,,0,0,32000,Pennsylvania,Northeast Region
125,,4,1,74,1,39.2,41.7,36.4,2,,,0,0,78000,Florida,South Region
126,,3,2,84,2,37.7,39.7,35.5,1,,,0,0,30000,New York,Northeast Region
127,,3,1,74,,38.3,41.1,35.2,1,,,0,100000,100000,New York,Northeast Region
128,,3,2,88,2,38.8,40,37.7,2,,,0,0,,Maryland,South Region
129,20,3,2,66,1,38.6,41.6,35.5,1,,1,0,40000,75000,Connecticut,Northeast Region
130,55,5,2,47,3,38.5,41.3,35.5,3,4,1,0,115000,200000,Massachusetts,Northeast Region
131,,4,1,63,1,37.4,39.6,35.1,2,,,0,0,24000,New York,Northeast Region
132,,3,1,72,3,37.9,40.6,34.9,3,,,0,17000,,Maine,Northeast Region
133,,4,2,80,2,38.5,40.6,36.3,2,,,0,0,80000,Georgia,South Region
134,25,4,2,67,1,37.6,39.6,35.6,3,4,1,0,10000,50000,North Carolina,South Region
135,,4,2,58,1,37.7,40,35.3,1,,,0,,,Wisconsin,Midwest Region
136,45,4,2,31,3,38.3,40.3,36.2,2,,1,0,67000,67000,Delaware,South Region
137,,3,1,69,3,37.7,39.7,35.5,2,,,0,0,70000,New York,Northeast Region
138,,4,1,82,3,37.9,40.8,34.9,1,,,0,0,50000,Massachusetts,Northeast Region
139,,5,1,37,3,38.7,40.6,36.8,1,,,0,45000,61425,Kansas,Midwest Region
140,,4,2,67,1,38.4,42.2,34.2,2,,,0,0,70000,Pennsylvania,Northeast Region
141,40,5,1,52,3,37.4,39.9,34.6,3,2,,0,106000,217000,New York,Northeast Region
142,60,4,2,55,1,36.7,39.3,33.7,3,1,1,0,14000,1800,Colorado,West Region
143,8,4,1,75,2,39,41.8,35.9,2,,1,0,4000,20000,Pennsylvania,Northeast Region
144,40,5,2,62,1,37.7,40.3,35.2,2,,1,0,85000,85000,Connecticut,Northeast Region
145,20,2,2,38,3,38.4,41.1,35.4,3,,0,0,6000,55000,Pennsylvania,Northeast Region
146,50,4,1,41,3,38.6,40.9,35.7,3,4,0,0,700000,800000,California,West Region
147,40,4,2,29,2,38.1,40.2,35.8,3,1,0,0,29000,98000,New York,Northeast Region
148,45,4,2,57,3,37.6,39.8,35.3,3,,1,0,82000,82000,New York,Northeast Region
149,,2,3,66,1,37.5,39.5,35.2,1,,,0,0,8000,New York,Northeast Region
150,10,4,1,73,2,38.8,41.1,36.3,2,,1,0,60000,150000,New Jersey,Northeast Region
151,39,3,2,34,3,38.6,41.4,35.4,2,,1,0,60000,100000,Rhode Island,Northeast Region
152,35,5,2,37,3,37.3,39.5,35,3,,1,0,38000,85000,Rhode Island,Northeast Region
153,60,3,1,38,2,37.5,40.3,34.6,1,,1,0,100000,100000,Massachusetts,Northeast Region
154,80,3,2,54,3,37.9,40.8,34.9,3,2,0,0,0,180000,Massachusetts,Northeast Region
155,40,4,2,56,2,37.4,40.3,34.4,3,,0,0,30000,500000,Massachusetts,Northeast Region
156,,2,1,83,2,36.6,38.7,34.2,2,,,0,0,,New York,Northeast Region
157,36,3,2,33,3,38.5,41.5,35.5,3,,1,0,126000,205000,Massachusetts,Northeast Region
158,40,4,2,35,3,38.5,41.1,35.5,3,,0,0,48000,,Pennsylvania,Northeast Region
159,,5,2,71,1,39.2,41.5,36.7,2,,,0,0,42000,North Carolina,South Region
160,,4,1,71,2,38.2,41.6,34,2,,,0,0,100000,Pennsylvania,Northeast Region
161,,4,2,72,2,37.7,39.9,35.3,2,,,0,0,,Pennsylvania,Northeast Region
162,,4,2,68,1,38.7,40.7,36.5,2,,,0,0,50000,Kansas,Midwest Region
163,,4,2,65,1,36.1,36.7,35.2,2,,,0,0,,New Jersey,Northeast Region
164,68,3,1,64,2,37.9,39.6,35.9,3,1,1,1,60000,,California,West Region
165,50,5,1,30,3,38.7,40.5,36.9,2,,1,0,41400,47100,New York,Northeast Region
166,8,3,1,50,2,38.3,40.2,36.3,3,,1,0,,,New York,Northeast Region
167,,2,2,58,2,38.5,41.4,35.4,3,,,0,,,Indiana,Midwest Region
168,30,4,2,52,1,41.4,44.4,37.9,2,4,1,0,30000,30000,Texas,South Region
169,,4,2,74,1,38.3,40.2,36.3,3,,,0,,,New York,Northeast Region
170,,4,1,73,2,38.3,40.9,35.6,2,,,0,0,30000,Pennsylvania,Northeast Region
171,40,5,2,51,3,38.8,40.8,36.8,3,,1,0,50000,125000,Pennsylvania,Northeast Region
172,,1,2,82,2,38.5,41.1,35.5,2,,,0,0,20000,Pennsylvania,Northeast Region
173,,4,2,76,2,38.7,41.7,35.3,2,,,0,0,35000,Pennsylvania,Northeast Region
174,,3,1,58,1,37.8,40.4,34.9,2,,,0,0,50000,New York,Northeast Region
175,40,3,1,58,2,39.1,42.3,35.6,1,,0,0,92000,150000,New York,Northeast Region
176,,4,2,79,2,36.9,39.2,34.5,2,,,0,0,1700,New York,Northeast Region
177,,3,1,69,2,40.2,43.5,36.6,2,,,0,0,25752.01,Missouri,Midwest Region
178,40,4,2,50,2,38.9,41.4,36,2,,1,0,71000,71000,New Jersey,Northeast Region
179,,4,1,76,3,38.7,40.9,36.4,2,,,0,35000,100000,Florida,South Region
180,,4,2,66,2,38.9,41.4,36,2,,,0,124000,230000,New Jersey,Northeast Region
181,,4,1,72,3,38.7,40.7,36.7,2,,,0,0,80000,Kentucky,South Region
182,,4,2,62,1,38.4,41.3,35.2,3,,,0,30000,90000,New York,Northeast Region
183,45,3,2,54,3,38.4,41.3,35.2,3,,0,0,113000,148000,New York,Northeast Region
184,,4,1,64,1,38.3,40.2,36.4,1,,,0,0,40000,Delaware,South Region
185,,3,2,71,2,39,41.8,35.9,2,,,0,0,110000,Pennsylvania,Northeast Region
186,,1,1,85,2,38.9,41.8,35.7,2,,,0,0,0,Pennsylvania,Northeast Region
187,50,4,2,46,3,40.5,43.6,37.3,3,4,1,0,74160,111000,South Dakota,Midwest Region
188,,2,2,33,1,38.4,41,35.6,3,,,0,0,57000,Iowa,Midwest Region
189,,4,2,62,1,38.1,40.3,35.9,1,,,0,0,60000,New Jersey,Northeast Region
190,,3,2,42,3,38.8,41,36.2,2,,,0,0,100000,New Jersey,Northeast Region
191,,4,1,75,2,36.8,38.8,34.9,2,,,,,,New York,Northeast Region
192,,3,2,70,3,39.9,42.8,36.6,3,,,0,0,39000,Georgia,South Region
193,41,3,1,47,2,38.6,41.1,36.1,3,,0,0,58000,58000,Illinois,Midwest Region
194,,3,2,46,1,36.1,38.7,33.1,3,,,0,0,0,Indiana,Midwest Region
195,,2,1,71,3,40.8,44.6,35.7,2,,,0,25000,40000,New York,Northeast Region
196,,4,1,69,3,37.5,39.5,35.2,2,,,0,0,75000,New York,Northeast Region
197,40,4,1,46,3,38.9,40.2,37.5,3,,1,0,38000,80000,Georgia,South Region
198,48,3,1,71,2,37.4,39.7,34.6,2,2,0,0,40000,70000,New Mexico,West Region
199,60,4,1,69,1,38.3,41.1,35.2,2,,0,0,20000,20000,New York,Northeast Region
200,,4,1,72,2,39.4,42.4,35.9,3,,,0,0,65000,Iowa,Midwest Region
201,,4,2,64,2,38.4,41.2,35.4,2,,,0,0,200000,Ohio,Midwest Region
202,50,4,2,65,2,37.8,40.8,34.6,1,2,1,0,80000,98000,Ohio,Midwest Region
203,45,4,2,43,3,35.7,38.7,32.5,3,,1,0,65000,65000,Washington,West Region
204,45,4,1,58,2,33.8,35.6,32,1,4,1,0,95000,120000,Virginia,South Region
205,40,3,2,59,2,37.6,39.2,36.1,3,,1,0,25000,25000,Virginia,South Region
206,,5,2,55,1,40.2,43.2,36.8,2,,,0,,,South Carolina,
207,40,4,2,63,2,37.9,40.5,34.8,1,,1,0,,,Ohio,Midwest Region
208,,5,1,65,1,38.9,41.4,36.2,2,,,0,0,99000,Ohio,Midwest Region
209,60,3,3,,3,37.7,39.8,35.5,3,4,1,,,,West Virginia,South Region
210,45,2,1,65,2,38.2,41.5,34.7,1,,0,1,50000,50000,Ohio,Midwest Region
211,55,3,1,41,3,38.8,42,35.2,3,2,1,1,65000,90000,Ohio,Midwest Region
212,,5,1,73,3,38.6,40.8,36.2,2,,,0,0,0,Tennessee,South Region
213,,3,1,65,2,38.6,41.1,35.9,2,,,0,0,0,Kentucky,South Region
214,20,3,2,18,3,38.1,40.4,35.4,3,,0,0,10000,110000,California,West Region
215,,3,2,62,2,37.6,39.9,35,2,,,0,0,0,Oregon,West Region
216,38,4,2,35,3,38.7,40.5,36.9,3,,0,0,28000,28000,New York,Northeast Region
217,,3,1,76,2,38.1,40.4,35.4,2,,,0,7500,24000,California,West Region
218,15,3,1,69,2,39.3,41.7,36.6,1,,1,0,34000,175000,Oklahoma,South Region
219,40,3,1,64,3,39.2,43.3,34.5,3,,1,0,45000,45000,Idaho,West Region
220,,3,1,71,2,40.2,44,35.4,2,,,1,110000,110000,Washington,West Region
221,40,4,1,70,3,38.2,40.9,35,2,,1,0,,,Washington,West Region
222,,4,1,73,2,39.1,41.3,36.6,1,,,0,0,0,Indiana,Midwest Region
223,40,4,1,68,3,38.7,40.7,36.4,1,,1,0,40000,50000,New York,Northeast Region
224,40,3,2,58,3,38.2,40.4,35.9,3,,1,0,70000,150000,Connecticut,Northeast Region
225,21,4,1,71,1,37.2,39.7,34.7,1,,1,0,49500,99000,Massachusetts,Northeast Region
226,43,4,2,52,2,41.9,45.6,37.4,2,1,,0,26000,,Kansas,Midwest Region
227,,4,2,69,1,38.3,40.1,36.3,2,,,0,0,8000,New Mexico,West Region
228,72,5,1,55,2,37.5,39.5,35.2,2,2,1,0,45000,45000,New York,Northeast Region
229,,2,2,71,2,39.3,41.7,36.6,2,,,0,0,54000,Oklahoma,South Region
230,,2,1,80,2,38.1,40.6,35.2,1,,,0,0,0,Idaho,West Region
231,48,5,1,31,3,37.6,39.5,35.6,3,,1,0,71000,71000,Colorado,West Region
232,40,4,1,30,3,37.2,40.6,33.3,3,,1,1,40000,75000,Wyoming,West Region
233,,3,2,73,1,38.7,40.6,36.8,2,,,0,0,,Kansas,Midwest Region
234,10,5,1,72,1,40.5,43.8,36.9,1,,1,0,700,31000,Louisiana,South Region
235,40,3,2,54,3,38,39.8,36,1,,0,0,0,220000,California,West Region
236,38,3,1,59,1,38,39.8,36,3,,1,0,40000,40000,California,West Region
237,,4,2,77,3,38.4,42.2,34.2,2,,,0,,48000,Pennsylvania,Northeast Region
238,45,4,1,61,3,38.4,42.2,34.2,3,,1,0,80000,95000,Pennsylvania,Northeast Region
239,40,3,1,52,2,38.4,41.2,35.4,2,,1,0,45000,45000,Pennsylvania,Northeast Region
240,,4,1,74,2,37.3,39.5,35,1,,,0,0,100000,Rhode Island,Northeast Region
241,,3,2,80,2,38.1,40.3,35.9,2,,,0,0,2383.56,New Jersey,Northeast Region
242,,4,1,81,1,35.3,37.3,33.2,2,,,0,0,53000,Illinois,Midwest Region
243,,4,1,91,2,38.8,40.9,36.4,2,,,0,0,50000000,Virginia,South Region
244,55,4,1,48,3,39,42.2,35.7,3,,1,0,62000,100000,Kentucky,South Region
245,,4,2,64,2,38.5,41.3,35.5,2,,,0,0,125000,Massachusetts,Northeast Region
246,46,4,1,64,3,37.1,39.5,34.6,2,,1,0,45000,45000,Massachusetts,Northeast Region
247,,2,1,79,2,37.2,39.6,34.5,2,,,1,0,115000,New York,Northeast Region
248,,4,2,69,1,38.7,41.7,35.3,2,,,0,0,0,Pennsylvania,Northeast Region
249,,3,2,80,2,38.7,40.9,36.4,2,,,0,0,39800,Florida,South Region
250,40,3,1,65,3,37.7,40.1,35.1,2,,1,0,40000,80000,Ohio,Midwest Region
251,,3,2,76,2,38.6,40.6,36.5,2,,,0,0,100000,Delaware,South Region
252,39,4,1,34,3,38.3,40.2,36.4,3,4,1,0,150000,150000,Delaware,South Region
253,27,4,1,72,1,39.2,42.4,35.6,1,,1,0,27000,60000,Pennsylvania,Northeast Region
254,,1,1,59,2,38.3,40.2,36.4,2,,,1,0,18000,Delaware,South Region
255,44,3,1,33,3,39.6,42,36.9,3,4,1,0,42000,75000,Oklahoma,South Region
256,,3,2,71,1,38.7,40.6,36.8,2,,,0,0,40000,Maryland,South Region
257,20,4,2,68,3,38.5,40.3,36.6,2,,1,0,12000,83000,Tennessee,South Region
258,60,5,1,56,3,37.8,40.2,35.1,3,1,1,1,54000,70000,Pennsylvania,Northeast Region
259,64,4,1,62,3,39.3,41.4,37.1,3,2,1,0,58000,65000,Virginia,South Region
260,60,2,2,37,3,39.3,42.5,35.8,2,,0,0,20000,55000,Texas,South Region
261,,4,1,71,2,38.6,41.4,35.3,3,,,0,0,21000,Washington,West Region
262,45,5,1,39,3,39.2,41.3,36.9,3,2,1,1,30000,45000,Georgia,South Region
263,,4,2,79,2,38.6,41.3,35.4,2,,,0,0,72000,Washington,West Region
264,,3,1,81,2,38.8,40,37.7,2,,,1,0,3500,Maryland,South Region
265,,4,1,88,2,41.5,45.4,37.1,1,,,0,0,19000,Iowa,Midwest Region
266,,5,2,57,3,38.6,40.4,36.6,3,,,0,47000,110000,Florida,South Region
267,50,3,1,61,3,39.7,43.3,36.3,2,,1,0,,,Arkansas,South Region
268,32,4,1,73,2,38.5,40.7,36.1,1,,1,0,85000,125000,Florida,South Region
269,30,3,2,38,3,40.4,42.7,37.5,3,,0,1,20000,5000,Texas,South Region
270,45,4,2,56,3,39,42.3,35.4,1,,1,0,78000,240000,Ohio,Midwest Region
271,2,4,1,68,2,40.4,42.7,37.5,2,,1,0,8000,65000,Texas,South Region
272,48,3,2,36,3,40.5,43.5,36.6,3,2,0,0,70000,125000,Texas,South Region
273,,2,1,65,1,38.6,40.5,36.6,2,,,0,24500,75000,Florida,South Region
274,,3,2,65,2,36.9,39.2,34.2,2,,,0,,,Texas,South Region
275,,2,2,88,1,36.9,39.2,34.2,1,,,0,0,15600,Texas,South Region
276,,5,1,82,2,38.4,41.2,35.4,2,,,0,23000,60000,Ohio,Midwest Region
277,,5,1,79,1,38.5,42.5,33.8,1,,,0,0,40000,Ohio,Midwest Region
278,,4,1,69,2,37.6,39.9,35.2,3,,,0,0,100000,New York,Northeast Region
279,,4,2,71,3,39.1,41.4,36.7,2,,,0,,75000,Virginia,South Region
280,60,4,1,52,3,38.3,41.5,34.7,3,4,1,0,150000,225000,Illinois,Midwest Region
281,45,5,1,27,3,37,38.9,35.2,3,,1,0,52000,198000,New York,Northeast Region
282,,3,2,61,1,36.9,38.8,35.1,2,,,0,,,New York,Northeast Region
283,,5,1,37,3,38.2,39.9,36.6,3,,,0,70000,70000,Pennsylvania,Northeast Region
284,45,4,2,35,1,39.1,42.3,35.6,3,2,1,0,40000,85000,New York,Northeast Region
285,,4,2,60,3,38.9,41.8,35.7,3,,,0,0,50000,Pennsylvania,Northeast Region
286,18,4,2,63,1,38.1,40.2,35.8,2,,1,0,8600,32000,New York,Northeast Region
287,50,3,2,50,2,37.9,40.2,35.5,3,1,1,0,,,Pennsylvania,Northeast Region
288,40,3,2,49,3,38.2,39.9,36.6,3,,1,0,82000,82000,Pennsylvania,Northeast Region
289,,2,1,59,1,39,41.8,35.9,2,,,0,0,0,Pennsylvania,Northeast Region
290,44,4,2,25,3,38.2,39.9,36.6,2,3,1,0,28000,60000,Pennsylvania,Northeast Region
291,,4,2,70,1,38.6,40.9,36.4,3,1,1,0,0,23400,Louisiana,South Region
292,40,4,2,44,2,39.8,43.4,35.9,3,,1,0,40000,40000,Mississippi,South Region
293,56,3,2,58,3,38.6,40.3,36.7,1,1,1,0,34000,,Florida,South Region
294,,4,1,59,2,38.9,41.8,35.7,3,,,1,0,24000,Pennsylvania,Northeast Region
295,,1,1,50,1,38.7,41.1,35.9,1,,,1,0,0,New York,Northeast Region
296,60,5,2,61,3,39.2,41.1,37.2,1,1,1,0,120000,183000,Florida,South Region
297,,3,1,80,2,36.4,39,33.8,2,,,0,0,,Florida,South Region
298,,1,2,88,1,39.6,42.2,36.9,3,,,0,4620,300000,Texas,South Region
299,,3,2,70,1,38,39.7,36.1,2,,,0,803,55000,Florida,South Region
300,20,4,2,45,2,38.7,40.6,36.8,3,3,0,0,15000,200000,Maryland,South Region
301,,2,2,30,1,38.5,40.3,36.6,3,,,0,0,,Tennessee,South Region
302,,4,1,73,3,38.4,41.3,35.2,3,,,0,120000,150000,New York,Northeast Region
303,38,4,2,46,3,39.1,42.3,35.6,3,,1,0,85000,100000,New York,Northeast Region
